"id","1256-273-P2-T","1256-276-P5-T","1256-287-P6-T","1256-290-P7-T","1256-293-P8-T","1256-297-P11-T","1256-300-P12-T","1256-304-P479-T","1256-312-P483-T","1256-322-P489-T","1256-325-P493-T","1256-327-P494-T","1256-329-P496-T","1256-331-P497-T","1256-334-P499-T","1256-339-P503-T","1256-343-P507-T","1256-345-P508-T","1256-347-P509-T","1256-349-P510-T","1256-351-P511-T"
"cf95e57fcce8a52107740cb4827dfd46",30,11,0,7,0,0,0,2,35,2,5,3,0,0,0,0,0,0,6,0,0
"43fca74f512241eb488e259f5fe3dd54",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5e8c954ab238a046df1b5aa283ee6722",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43f6f15944ca4b92b99ce02be3a5cba9",19,1,0,3,0,0,0,0,9,1,2,1,0,0,0,0,0,0,0,0,0
"d97723981e6c28a49ef9d472e04e5df8",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d834209ae10ed9a3da396c66e8e2dd3f",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"641482f18bc214b63a2acda1807b3ecb",2,23,0,0,0,0,0,2,2,1,0,3,0,0,0,0,0,13,0,0,2
"a39028985c4178d353f44385e232ba82",23,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0
"d02f0cdebf1980e806e52aac052101d5",0,31,0,3,1,0,0,0,3,0,0,7,0,0,41,0,0,64,6,0,18
"1abf82a9576fcc0744e886460483a15f",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0bde3a1988b906ea54018379c84f6872",5,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"1c915a7f88cf020e8e59a9003a48d736",5,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0
"4bdf2eb0ce419bbbfbd79e1f0dd772d8",0,0,0,0,1,1,0,6,2,4,0,1,1,0,0,0,0,0,0,0,1
"71600e08d8eb71feeeaf225beab6999e",3,0,0,18,5,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0
"d40548b6409b4bcf86548f23ce562e9b",0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"100b5959723da4ad6928816ec7d8204c",0,15,0,0,0,0,0,0,6,0,0,0,0,0,62,0,0,0,0,0,8
"d7c2a3d9c6823260535f2b11dd5b49ed",6,86,0,0,1,0,0,0,0,3,0,0,0,0,33,0,18,64,0,0,226
"1c6c9880f8c426332f5bfc3622fe4600",0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,7
"2fb1c224d22ae631ea8852648d48f4aa",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"0b2c7756267bcffd1a5256bf2e259ad7",0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
"9ea64277066626b002488ee92c3bf36c",0,7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
"a3bab949487c9e0a00f70e67fa738084",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"660b3ba0e33b1c5bfb32588136900909",0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,6
"6de509ee0779a62a9464e08e7b09ee6e",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
