"id","1256-202-HI6-T","1256-205-HI7-T","1256-208-HI8-T","1256-211-HI10-T","1256-218-HI58-T","1256-221-HI59-T","1256-224-HI60-T","1256-227-HI61-T","1256-237-HI64-T","1256-240-HI65-T","1256-246-HI67-T","1256-253-HI69-T","1256-258-HIA-T","1256-267-HID-T","1256-277-HIE-T"
"a9b59ab7d11ec4710c0590d3cda9a7a9",0,0,0,0,0,0,42,3,0,4,0,2,9,0,0
"90ad5dad35ac811b272cd106b1693615",1,7,0,0,0,0,0,0,0,4,1,0,0,0,11
"12d403605f32e194cb9403748aedd24b",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"fa4b85057cbe38c61ed66bef5293287d",0,0,14,0,0,0,0,0,0,1,0,0,0,0,0
"d22bfa8d87177ee3468462b78ed0934c",1,0,0,0,0,0,1,1,1,0,0,0,2,0,0
"9c720ef48c067b38700080367c9b9642",0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
"c416c3996a8c7af6f22cb162dd4c19d1",0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
"e22c181d782f5d964c86aaf25775b144",0,0,0,0,0,0,21,0,0,0,0,2,0,0,0
"61ead2eb72472c88bd260fd17f207661",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"c166291e31e109c53ff7e98377ee1c83",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"c2f583fe63f3e41ff7649d1ea98d2d14",0,0,0,0,0,0,106,3,31,0,0,2,19,0,0
"5c58e4886c094fa4aa8fbc1ad2b1c5f3",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"a026542527c961bd619055616ab3c086",2,0,0,0,0,0,3,0,0,3,0,2,0,0,0
"f13c357f77c5d7883a024f545c132584",0,0,0,0,0,0,31,0,2,2,0,1,0,0,0
"49202165d09a1ec83ef216c7aeed8796",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"d3e82c270eed56341b23fea0b24f9ce4",0,0,0,0,0,0,5,0,1,0,0,2,0,0,0
"50191f0c21f1ae276511fe628684f7d4",0,0,0,0,4,0,0,0,2,0,0,1,0,0,0
