sequence	16S_rRNA_Count	metadata_NSTI
00d9ddd1590b5b70231abdad11c3c082	1	0.662151
00d9fa720e368a1e1ab98ec8857a0e9c	1	0.11060199999999999
00dbba2d625afc73e54c0dab7eced3c6	1	0.300325
00dcbce5f8261ccf1685035eb5d4563e	1	0.673222
00dd7cf40febe2e8b7d25a708120e50d	2	0.43337700000000007
00dfbdb14de5d7749c549ba7d2efaa35	1	0.443583
00dfcfc0413ef23b12b912e08b8980d2	1	0.31282
00e05816e1ffcec3d278e66331e0a838	2	0.455165
00e099f6df913341e3f60a6254ff024f	1	0.079343
00e19987aaf68672b55133006ed31e4f	1	0.056801
00e1bed789cb8f61b5666faae98a4c02	1	0.19909300000000002
00e1f86ac8c4828a6d28dbb9217ce7fb	2	0.330131
00e3408f924ae571565a918a7be4c6df	1	0.115567
00e354a704d1990cf3d99ef66a66ff8a	1	0.257152
00e41b08c50e79cd98ecb8988cb3bd06	1	0.38722399999999996
00e46615050eae595c2e7ebd56239951	1	0.780479
00e49344589b7e4e190b8ac35bf88cd8	1	0.812132
00e4aff84acb1457bebb53554abb6e4e	1	0.26858699999999996
00e5cce45e6afa9a8c4ddc329e0c497b	1	0.10628
00e62f1557f6443f18048771314c56e0	1	1.4741440000000001
00e78159ab2d7cdb5f0269a72208809c	1	0.44347
00e79a94939e1933cb9e8d79a396ff61	4	0.534446
00e85b89f0a2b412adbe3433ccace170	1	0.044108999999999995
00e876711052bc57e88511d1c9e9f059	1	0.146421
00e892b44debbcf496fdd6b2a5a474b9	2	0.23306100000000002
00e8d9b6494bc81fe33fb6c3e6a6bf0e	1	0.47070100000000004
00ea0c7f4c5cf697080a5eb3c8661688	1	0.47255600000000003
00eb106b6454c8968f4d1920842b9080	1	0.161607
00ec57dcb17abaa91c46f192d6839b77	1	2.402082
00ecf3809187b14cfcfda7dba5619baf	1	0.796585
00edbb80f68ff61fb218bf7e965226dc	1	1.330559
00ee25802a51e9b0694c8c347b4a4020	1	0.536826
00ef6df77245f7453498a0e657534642	1	0.24834699999999998
00f14902a8d7788b0565d8ed026365ae	1	0.62038
00f23e7d9dfa803fe0fc0b2995dc2453	1	0.173352
00f2975ca5f573f8b1853b7c3ee13045	1	0.251334
00f2ae9d0094f19aca0f10118ea2d3e2	1	0.107305
00f2c97112cc3298c49f1fea25ae0d2e	1	0.658796
00f3dd9d2c77b98fa2acb209526907f1	1	0.059634000000000006
00f61f22f21cb4f33c3d095141174b73	1	0.898425
00f6773c1a132c165ab09b86f41dcade	1	1.598117
00f7ed64cf5c23dbf982ca5780c55fd4	1	0.5243399999999999
00f8ce33fac849223aee3621feab8d99	1	0.363658
00f93c6ced5b779264c9993bee94a97d	1	0.28553
00f9c6afa4540d882a0259b46a37db5e	1	0.076498
00f9e17a45a62f9eb4b1bc3f9138ec9d	1	1.8407349999999998
00fa33b299a596e653b85983b1bc2bb9	1	0.249477
00fb4885ee6f318db2bb530be99a683c	1	0.3411
00fcccf1a7b31f9a06165a17b433cae6	1	1.237484
00fe6737d1bba2f0b25925e89ef5bd19	1	0.261201
00fed98651b9539cae9ec54eaaf6f9ab	1	0.324265
00fee313c665be124ecf25171d592bc5	1	0.11317999999999999
00ffd6ba46d2a9258cfa6bcf6d84261a	1	1.02586
00ffe9ef78f7a0e1b67c6306cec44d90	1	0.803218
010100fd3ce1241a25933ab837914497	1	0.720356
0101aaf2965eee09c4ea11e1d3a8ab0d	1	0.54767
01029f031858dc55371e3f88c4762e95	1	0.671782
01030c1e250d9d2f82b5bbbfc8f9e882	1	0.18246199999999999
0103411734667d0158a4a583e8d4b2dd	1	0.5969949999999999
01043b236d76978ba5a15e4da32bc1bc	1	0.156193
